job_id,published_date,title,description,career_page_name,type,application_deadline,is_remote_work,city,state,country,job_url,disabilities,workplace_type,submitted
6496375,2024-01-08T12:28:44.188Z,Analista de Recursos de Glosas,"O Sabará Hospital Infantil é uma instituição sem fins lucrativos e braço assistencial da Fundação José Luiz Egydio Setúbal, da qual faz parte também o Instituto PENSI, focado na realização de pesquisas e no ensino e treinamento de profissionais da saúde infantil. É um dos maiores e mais respeitados centros de atendimento pediátricos do Brasil, reconhecido pelo excelente atendimento ao paciente e pelo pioneirismo nessa área, desde sua inauguração, em 1962.A instituição valoriza o ser humano em primeiro lugar, baseando-se também em alguns de nossos valores, como ÉTICA, CUIDAR e o HUMANISMO. Respeitamos as individualidades, reconhecendo suas competências, incentivando o conhecimento, a inovação e que sejam representantes das diversidades nos âmbitos cultural, de gênero, raça, gerações, orientação sexual e/ou afetiva, religiosa, deficiências ou que contemplem outras particularidades.Valorizamos nossos cuidadores, reconhecendo suas competências, incentivando o conhecimento e a inovação com respeito e confiança.Venha você também fazer parte desta equipe de sucesso!Dados da vaga em abertoCARGO: Analista de GlosasSETOR: Recursos de GlosasESCALA: 5x2 (Seg. a Sex.)HORÁRIO: 08:00 as 17:00REGIÃO: Higienópolis (Próximo a estação de Metrô Paulista - Linha Amarela ou Consolação - Linha Verde)Responsabilidades e atribuiçõesRealizar o controle do recebimentos dos demonstrativos de glosas enviado pelo departamento setor de contas a receber, apresentados pelas operadoras, através do cronograma de pagamento realizado pelo departamento Faturamento.Analisar demonstrativos mensais de glosas emitidas pelas operadoras, realizar a defesa das glosas apontadas, alimentar no sistema MV, planilha Excel e sistema direto da operadora.Cobrar retorno das operadoras das analises de glosas realizadas pelo HIS, seguindo prazo de 30 dias após analise enviada, para não perder o prazo de pagamento.Orientar e esclarecer duvidas referente a rotina de trabalho ao assistente e auxiliar do departamento.Analisar contratos das operadoras, tabelas AMB / TUSS / TISS / CBHPM / Simpro / Brasindice e sistema MV, e sempre que necessários acionar as áreas responsáveis para realizarem as correções em sistema / contrato.Realizar o controle de fluxo diário do departamento e fechamentos mensais.Atuar com a educação continua de todos os departamentos relacionados as glosas devido a problemas internos.Levantar dados para elaboração de relatórios e planilhas consolidando as informações, para conhecimento e tomada de ações junto ao gestor imediatoRequisitos e qualificaçõesEnsino superior completo em Administração de Empresas/ Hospitalar e áreas afins;Conhecimento no MV;Conhecimento no pacote office;Informações adicionaisO que temos a oferecer:Salário FixoVale AlimentaçãoVale Refeição (Disponível para colaboradores com carga horária diária de 08 horas ou mais, não elegível para colaboradores com carga de horária de 06 horas ou menos)Vale TransporteAssistência Médica (a partir da admissão, com coparticipação)Assistência OdontológicaSeguro de Vida (50% subsidiado pela empresa)Convênio GoldenFarmaAuxílio creche (para colaboradoras mulheres com filhos até 06 anos)Parcerias com instituições de ensinoEtapas do processo de seleção:Triagem dos currículoProva e ou Redação (Tempo de Duração: 1 hora)Entrevista com o Recrutamento e SeleçãoEntrevista com o Gestor da áreaExame Médico AdmissionalEntrega de DocumentosGostou?!Então, venha fazer parte da nossa equipe de sucesso!Cadastre seu currículo e aguarde a convocação para as próximas fases. O Sabará Hospital Infantil respeita sua privacidade e cumpre as disposições da Lei Geral de Proteção de Dados (Lei 13.709/18). Informamos que os dados fornecidos pela sua candidatura são tratados com a finalidade de realizar o processo seletivo a vaga aqui disposta e são compartilhados com a Gupy Tecnologia em Recrutamento LTDA. (CNPJ 23.514.668/0001-52) com a finalidade de operacionalizar as etapas do processo seletivo. Se você tiver qualquer dúvida acerca de como seus dados são tratados, ou ainda para solicitar algum direito trazido pela LGPD, como confirmação do tratamento, acesso aos dados, pedido de exclusão, entre outros, você deve contatar nosso Encarregado de proteção de dados através do nosso Canal de Atendimento aos Titulares. Nossa política de privacidade pode ser conferida no link https://www.hospitalinfantilsabara.org.br/politica-de-privacidade/",Sabará Hospital Infantil,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://sabarahospitalinfantil.gupy.io/job/eyJqb2JJZCI6NjQ5NjM3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
6569041,2024-01-08T12:27:46.849Z,Finanças: Analista Financeiro Jr (Contas a receber),"Olá, tudo bom?!Se você possui foco em processos com perfil crítico voltado para soluções, gosta de trabalhar em equipe com visão integrada e busca trabalhar em uma empresa com ambiente dinâmico e inovador, então, essa oportunidade é para você!Venha ser fora da caixa com a gente! ;)Responsabilidades e atribuiçõesVocê irá trabalhar com:Levantamento e análise de informações para definir o limite de crédito, conforme os padrões e políticas da empresa;Controle da carteira de cobrança, acompanhamento das liquidações de títulos e vencimentos, envio e retorno de arquivos bancários;Emissão borderôs de cobrança, extrato bancários, protesto de títulos e identificação das instruções executadas;Gestão da carteira de clientes das grandes redes (identificação depósito, apropriação de verbas, baixa NFD, etc.);Executar as instruções bancárias por meio do internet banking;Controle dos compromissos financeiros inerentes ao contas a receber;Negociação e recuperação de crédito junto aos inadimplentes.Requisitos e qualificaçõesO que nós esperamos de você?Estar cursando Ensino Superior: Ciências Contábeis, Economia, Administração ou Engenharias;Experiência com análise de crédito no segmento varejista;Experiência anterior na função de contas a receber;Excel intermediário.Informações adicionaisNo nosso processo seletivo, queremos que você fique à vontade e seja você mesmo. Sem regras, padrões ou rótulos, a gente acolhe e respeita todos os jeitos e formas. Sinta-se à vontade e pergunte o que quiser. Queremos conhecer você, trocar figurinhas e aproveitar ao máximo essa experiência! E você também deve conhecer a gente, e o nosso relacionamento é o que mais importa. Leia a descrição das vagas atentamente e procure identificar as que têm maior aderência com o seu perfil. Queremos que se candidate a uma vaga que tem tudo a ver com você!Ah, fique ligado(a)!É essencial manter seus dados corretos para podermos entrar em contato com você, então, lembre-se de manter seu perfil atualizado na Gupy e no Linkedin (atualize e-mail e celular).",Wine.com.br,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://wine.gupy.io/job/eyJqb2JJZCI6NjU2OTA0MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
6559347,2024-01-08T12:25:36.096Z,AMBIPAR RESPONSE ES - Analista Ambiental -Hidrossedimentologia,"Essa oportunidade é para fazer parte da equipe da área técnica da Ambipar, em nossa Sede, em Vitória/ES. Buscamos profissional, preferencialmente, com com experiência em hidrossedimentologia.RP Nº 1277Responsabilidades e atribuiçõesElaborar relatórios técnicos ambientais;Planejar as atividades diárias juntamente com as lideranças;Conduzir projetos envolvendo temáticas nas áreas de hidrossedimentologia, hidrogeologia, hidrogeoquimica, geomorfologia, geoquímica, hidrologia, processos fluviais, biodiversidade, áreas contaminadas, qualidade de água e sedimentos;Gestão de cronograma de campanhas de campo;Gerenciar e executar amostragens, caracterizar e medir parâmetros;Reportar os registros ao supervisor;Condução de veículo 4x4.Requisitos e qualificaçõesFormação em Engenharia Ambiental, Biólogo ou áreas correlatasVivência no segmento de consultoria ambiental e experiência com hidrossedimentologia será um diferencialCNH B vigenteExperiência com direção de veículo 4x4Disponibilidade para viagensResidir na Grande Vitória/ESInformações adicionaisNossa sede encontra-se em uma localização privilegiada na capital Vitória/ES e nas instalações temos: vestiário, refeitório, copa e um cafézinho para manter a energia durante o dia!Você contará ainda com estes benefícios:Vale Alimentação ou Refeição (cartão Caju);Vale Transporte (opcional);Assistência Médica;Assistência Odontológica;Seguro de Vida;﻿Esta oportunidade também é disponível para candidatos PcD. Mantenha seu cadastro sempre atualizado e deixe seu e-mail e telefone com acesso do WhatsApp. É através destes canais que possivelmente faremos contato.",Ambipar Response ES S/A,vacancy_type_effective,,False,Vitória,Espírito Santo,Brasil,https://ambipar.gupy.io/job/eyJqb2JJZCI6NjU1OTM0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
6563281,2024-01-08T12:23:01.564Z,Contabilidade: Analista Contábil,"Olá, tudo bom?!Se você possui foco em processos com perfil crítico voltado para soluções, gosta de trabalhar em equipe com visão integrada e busca trabalhar em uma empresa com ambiente dinâmico e inovador, então, essa oportunidade é para você!Venha ser fora da caixa com a gente! ;)Responsabilidades e atribuiçõesVocê irá trabalhar com:Realização do fechamento contábil mensal junto à equipe;Análises das movimentações, classificações, lançamentos e conciliações contábeis;Desenvolvimento de melhorias nos controles internos;Parametrização de contabilizações no sistema ERP;Elaboração de manuais de procedimentos internos da contabilidade;Elaboração e análise de notas explicativas das demonstrações financeiras;Geração e análise de declarações acessórias, tais como ECD Contábil e IBGE;Controle do ativo de direito de uso, imobilizado e intangível;Suporte às outras áreas da Companhia para fins classificação e análise de negócios;Análise orçamentária das movimentações realizadas;Atendimento à auditoria externa;Suporte à gestão para o cumprimentos normas e políticas contábeis.Requisitos e qualificaçõesO que nós esperamos de você?Ensino superior completo em Ciências Contábeis;Pós-Graduação nas áreas de Contabilidade, Controladoria e Finanças ou Auditoria;Excel Avançado;Power BI;CRC Ativo.Vai ser muito legal se, além disso, você tiver:SQL;Inglês nível intermediário.Informações adicionaisO nosso processo seletivo, queremos que você fique à vontade e seja você mesmo. Sem regras, padrões ou rótulos, a gente acolhe e respeita todos os jeitos e formas. Sinta-se à vontade e pergunte o que quiser. Queremos conhecer você, trocar figurinhas e aproveitar ao máximo essa experiência! E você também deve conhecer a gente, e o nosso relacionamento é o que mais importa. Leia a descrição das vagas atentamente e procure identificar as que têm maior aderência com o seu perfil. Queremos que se candidate a uma vaga que tem tudo a ver com você!Ah, fique ligado(a)!É essencial manter seus dados corretos para podermos entrar em contato com você, então, lembre-se de manter seu perfil atualizado na Gupy e no Linkedin (atualize e-mail e celular).",Wine.com.br,vacancy_type_effective,,False,Vitória,Espírito Santo,Brasil,https://wine.gupy.io/job/eyJqb2JJZCI6NjU2MzI4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
6553489,2024-01-08T12:18:45.435Z,14428-ANALISTA MONITORAMENTO,"Na Global Hitss, a inovação é o nosso combustível, a curiosidade é o nosso motor e o respeito pelo cliente é o nosso guia. Se você é movido pela paixão em criar soluções tecnológicas disruptivas, se busca constantemente desafios que ampliem os limites do possível e se acredita que colocar o cliente em primeiro lugar é a chave para o sucesso, então você está no lugar certo.Queremos pessoas que se destaquem, que pensem fora da caixa e estejam dispostas a desbravar novos horizontes. Aqui, cada ideia é valorizada, cada pergunta é incentivada e cada desafio é encarado como uma oportunidade de aprendizado e crescimento.Junte-se a nós e faça parte de uma cultura vibrante, onde a inovação é alimentada pela curiosidade incessante e onde o respeito pelo cliente permeia todas as nossas ações. Aqui, você terá a liberdade de explorar suas habilidades, colaborar com mentes brilhantes e transformar o futuro da tecnologia.Se você está pronto para fazer parte de uma empresa que acredita que o talento é a chave para o sucesso, envie seu currículo e junte-se à nossa equipe.Estamos ansiosos para conhecer você e impulsionar juntos a próxima geração de soluções tecnológicas.Venha ser um Hit!Responsabilidades e atribuiçõesPrincipais atribuições da função:Monitoração de ambientes Internet e Intranet;Monitoração e gerenciamento das ferramentas APM/Introscope, Spectrum e Zabbix;Registrar e dar tratamento ao incidente detectado através do processo de tratamento de incidentes;Acompanhar resolução de incidentes pendentes para que as medidas corretivas sejam providenciadas tempestivamente;Abrir, registrar e acompanhar chamados técnicos junto às unidades internas e externas.Requisitos e qualificaçõesRequisitos necessários:Cursando graduação em TI;Sólida experiência em Monitoração de ambientes Internet e Intranet.Informações adicionaisQuer conhecer todas as nossas vagas? Acesse a nossa página:Global Hitss - Trabalhe Conoscohttps://globalhitss.gupy.io/Importante: Todas as nossas vagas são elegíveis para profissionais com deficiência, equidade de gênero e raça/ etnia.",GLOBAL HITSS,vacancy_type_effective,,False,Brasília,Distrito Federal,Brasil,https://globalhitss.gupy.io/job/eyJqb2JJZCI6NjU1MzQ4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
6568732,2024-01-08T12:08:51.014Z,Analista de atendimento BackOffice (Seguradora)," Olá, Tudo bem?Nós da Altio, estamos em busca de novos colaboradores.Somos uma empresa jovem, extremamente orientada para a qualidade dos serviços prestados e para a satisfação de nossos clientes.Trabalhamos árdua e dedicadamente no sentido de assegurar a satisfação, pessoal e profissional, de nossos funcionários Temos vagas disponíveis para Analista de BKO (seguros)﻿Benefícios Salario R$: 1729,88 + variável de até R$ 400,00 mediante a resultados.Vale Refeição: R$ 10 diário + Vale Alimentação: R$ 5,17 diário = Valor Total Diário R$ 15,37.Reembolso com despesas de convenio R$ 180,00VT creditado direto no bilheteEscala 6x1 folgas fixas aos domingos Horário de trabalho de segunda a sexta das 08hr30min as 14h50min ou 14hr40mins as 21hr modelo presencialAo lado do metro barra funda de fácil acesso a empresa. Responsabilidades e atribuiçõesAtendimento aos corretores de seguro (foco em backoffice)Requisitos e qualificaçõesPossuir 6 meses de experiência com atendimento ao cliente por telefoneEnsino superior cursando ou em andamento18 anos de idade ou maisTer experiência com atendimento a area de seguros será um diferencial.Ter atuado com atendimento em backoffice ou areas similares",Vagas Altio Tecnologia,vacancy_type_effective,2024-06-14T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,https://vempraaltio.gupy.io/job/eyJqb2JJZCI6NjU2ODczMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
6561872,2024-01-08T12:07:27.888Z,Pessoa Analista de Suporte N1 ,"Somos aproximadamente 50k Minsaiters no Mundo e mais de 9k Minsaiters no Brasil e estamos presentes nas maiores empresas em todos os setores. Nossa estrutura permite participar de projetos globais e proporciona um ambiente colaborativo que nos certifica em GreatPlacesToWork e planos diferenciados para Jovens Profissionais também reconhecidos pela Employers for Youth. Você atuará no nosso time de Pessoa Analista de Suporte N1 em um projeto estratégico, utilizando metodologias ágeis e em um ambiente de inovação.Buscamos profissionais com senso de dono, comprometidos com o sucesso do nosso cliente e com o desenvolvimento da sua carreira dentro da MinsaitVocê será um pilar fundamental nos melhores e maiores projetos de TI do Brasil e em nível global.Venha ser um Minsaiter!Responsabilidades e atribuições💼 Responsabilidades:Efetuar monitoramento da fila de chamados;Garantir que os incidentes sejam priorizados corretamente e endereçados as respectivas filas corretas;Prestar atendimento telefônico ao usuário seguindo a base de conhecimento ou realizando acesso (a distância/via sistema) com objetivo de sanar a ocorrência.Realizar abertura de chamado pela ferramenta utilizada para registrar o incidente.Receber solicitação de atendimento do usuário por telefone ou e-mail para prestar suporte.Entrar em contato com o usuário para validar o incidente descrito no chamado minimizando falhas no atendimento.Encaminhar chamado não solucionado para a área responsável relatando ocorrências na ferramenta buscando nova resolução de problemas.Encerrar chamado relatando as ocorrências no sistema para registrar evidência de atendimento.Validar status dos chamados entrando em contato telefônico com usuários para confirmar conclusão do atendimento.Requisitos e qualificações📚 Requisitos:Ensino superior cursando ou completo;Disponibilidade para atuar 12x36 diurno ou noturno;Domínio com Espanhol;Se você possui a experiência e as habilidades necessárias para se destacar como Pessoa Analista Suporte N1, candidate-se! ✨ Aguardamos ansiosamente para conhecer você e discutir como sua expertise pode contribuir para o sucesso de nossa equipe!Informações adicionaisTRABALHE NA MINSAITModelo de contratação CLT.Plano de Saúde subsidiado pela empresa para o titular.Opção de inclusão de dependentes no Plano de Saúde com desconto em folha de pagamento.Assistência Odontológica (opcional).Opção de inclusão de dependentes no Plano de Assistência Odontológica com desconto em folha de pagamento.Vale Refeição ou Vale Alimentação.Vale Transporte (opcional).POP - Programa de Orientação Pessoal que visa oferecer suporte emocional e aconselhamento com orientação confidencial nas áreas psicológica, jurídica, financeira, social e pet sem custo para titular e dependentes legais.Gympass (Acesso a mais de 700 academias em todo o Brasil com planos a partir de R$ 39,90 descontado em folha de pagamento).Opção de inclusão de dependentes no Gympass (até 03 dependentes - pago via cartão de crédito).Parcerias com grandes marcas de consumo.Convênio com o SESC para titular e dependentes.Convênios para descontos com instituições de ensino (graduação e pós-graduação) e escola de idiomas.Seguro de vida em grupo.Nosso compromisso com a diversidade é um elemento-chave da nossa cultura: Igualdade de oportunidades, respeito pelas pessoas e não discriminação são princípios de atuação para todos os profissionais da Minsait. Integramos o Bloomberg Gender-Equality Index (GEI) 2021 em termos de diversidade e igualdade de gênero.Todas as nossas vagas são abertas também para PCDs.",Minsait an Indra Company,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://minsait.gupy.io/job/eyJqb2JJZCI6NjU2MTg3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
6553726,2024-01-08T12:06:50.956Z,14354-ANALISTA MONITORAMENTO,"Na Global Hitss, a inovação é o nosso combustível, a curiosidade é o nosso motor e o respeito pelo cliente é o nosso guia. Se você é movido pela paixão em criar soluções tecnológicas disruptivas, se busca constantemente desafios que ampliem os limites do possível e se acredita que colocar o cliente em primeiro lugar é a chave para o sucesso, então você está no lugar certo.Queremos pessoas que se destaquem, que pensem fora da caixa e estejam dispostas a desbravar novos horizontes. Aqui, cada ideia é valorizada, cada pergunta é incentivada e cada desafio é encarado como uma oportunidade de aprendizado e crescimento.Junte-se a nós e faça parte de uma cultura vibrante, onde a inovação é alimentada pela curiosidade incessante e onde o respeito pelo cliente permeia todas as nossas ações. Aqui, você terá a liberdade de explorar suas habilidades, colaborar com mentes brilhantes e transformar o futuro da tecnologia.Se você está pronto para fazer parte de uma empresa que acredita que o talento é a chave para o sucesso, envie seu currículo e junte-se à nossa equipe.Estamos ansiosos para conhecer você e impulsionar juntos a próxima geração de soluções tecnológicas.Venha ser um Hit!Responsabilidades e atribuiçõesPrincipais atribuições da função:Monitoração de ambientes Internet e Intranet;Monitoração e gerenciamento das ferramentas APM/Introscope, Spectrum e Zabbix;Registrar e dar tratamento ao incidente detectado através do processo de tratamento de incidentes;Acompanhar resolução de incidentes pendentes para que as medidas corretivas sejam providenciadas tempestivamente;Abrir, registrar e acompanhar chamados técnicos junto às unidades internas e externas.Requisitos e qualificaçõesRequisitos necessários:Cursando graduação em TI;Sólida experiência em monitoração de ambientes. Informações adicionaisQuer conhecer todas as nossas vagas? Acesse a nossa página:Global Hitss - Trabalhe Conoscohttps://globalhitss.gupy.io/Importante: Todas as nossas vagas são elegíveis para profissionais com deficiência, equidade de gênero e raça/ etnia.",GLOBAL HITSS,vacancy_type_effective,,False,Brasília,Distrito Federal,Brasil,https://globalhitss.gupy.io/job/eyJqb2JJZCI6NjU1MzcyNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
4998747,2024-01-08T11:56:04.536Z,ANALISTA DE GARANTIA DA QUALIDADE JR,"Se você é um profissional comprometido, motivado a desafios e focado em ampliar os seus horizontes profissionais com excelência, então venha fazer parte da nossa equipe!!!Responsabilidades e atribuiçõesCumprir as etapas que são atribuídas ao ocupante do cargo para que, em conjunto com demais funções, possam chegar ao objetivo final no cumprimento das programações da Garantia da Qualidade;Fazer checagem diária dos itens que estão críticos com problemas, da fábrica de acordo com o Plano Diário de Produção;Analisar itens críticos para a produção verificando materiais em transito e em produção;Negociar reposição de itens críticos com os fornecedores em tempo hábil para atender ao Plano de Produção;Acompanhar o uso de Avisos de Quebras da produção/almoxarifado controlando sua quantidade, evitando falta de itens por problema de qualidade;Emitir Lista de Separação de Materiais para que o Almoxarifado abasteça os itens que devem ser inspecionados.Requisitos e qualificaçõesEnsino Superior Cursando ou Completo em Engenharia;Conhecimento em Pacote Office: Avançado;Inglês/Japonês: Avançado (desejável);Conhecimento em Qualidade (Análise de problemas);Conhecimento em Controle de Estoque (físico/sistêmico).Informações adicionais“O Grupo YAMAHA possui um canal próprio onde divulga suas oportunidades. Não cobramos pela inscrição, exames admissionais ou qualquer outra etapa do processo de seleção e contratação. Também não solicitamos dados pessoais dos nossos candidatos por telefone ou qualquer rede social. Salientamos que se isso ocorrer, desconfiem, ou seja, caso receba alguma solicitação desta natureza pode se tratar de uma fraude”. Os links para verificar as oportunidades do Grupo YAMAHA são: https://yamaha.gupy.io/  https://www.linkedin.com/company/yamaha-brasil/jobs/",Grupo Yamaha Brasil,vacancy_type_effective,2024-01-15T00:00:00.000Z,False,Manaus,Amazonas,Brasil,https://yamaha.gupy.io/job/eyJqb2JJZCI6NDk5ODc0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,on-site,True
6568560,2024-01-08T11:51:25.731Z,Analista de Abastecimento,"Nascemos para transformar a vida de milhares de pessoas, provendo as ferramentas e o caminho para quem enfrenta a indiferença e supera cada obstáculo para conquistar os seus sonhos.Pautados nos firmes sensos de propósito, urgência e ownership, somos uma das startups que cresce mais rápido em toda a América Latina.Já são mais de 45.000 clientes alugando nossas motos e mais de 500 empresas utilizando o Mottu Entregas como solução de delivery -para realizar mais de 500.000 entregas mensalmente, em mais de 25 cidades do Brasil e também na Cidade do México.Grandes investidores já acreditam no nosso sonho, como Base Partners, Crankstart e Tiger Global. E você, quer construir a Mottu conosco?Responsabilidades e atribuiçõesAnalisar o resultado dos pedidos eletrônicos gerados pelo sistema Mottu para abastecimento das filiais.Analisar a situação dos estoques das filiais com objetivo de evitar desabastecimento e excessos de produtos.Sinalizar eventuais inconsistências do sistema para o time de tech com propósito de refinar o sistema de abastecimento.Realizar envios manuais com o propósito de evitar desabastecimento.Apoiar a equipe de lojas, esclarecendo dúvidas sobre pedidos e envios para as filiais.Gerar informações para o time de logística reversa, indicando os produtos que precisam ser movimentados, garantindo o equilíbrio dos estoques.Fazer a comunicação proativa das análises de estoques envolvendo o departamento de compras e centro de distribuição.Trabalhar próxima a equipe de inventário com objetivo de refinar os envios de acordo com nível de acuracidade de cada filial.Desenvolver e manter procedimentos padrão de operação sobre o processo de pedido eletrônico.Participar de treinamentos com as filiais, explicando como o sistema de pedido eletrônico funciona, melhorando a aderência das filiais ao processo de reposição eletrônica.Sinalizar eventuais filiais com dificuldades operacionais e contribuir para criação de planos de ação para manutenção do sistema de pedido eletrônico.Gerar relatórios reguladores sobre métricas de desempenho do sistema de pedido eletrônico.Requisitos e qualificaçõesDisponibilidade para trabalhar presencialmente no Butantã, São Paulo.Ensino Superior Completo.Pacote Office Avançado.Experiência em análise de dados para geração de relatórios e acompanhamento dos indicadores da empresa.Experiência com ferramentas de BI (ex.: Power BI, Tableau, ou similares) na construção de dashboards.Experiência em criação e execução de consultas SQL.Disciplina e organização.Ótima comunicação oral e escrita.Experiência prévia com logística.Informações adicionaisConhecimentos sobre peças de motos será considerado um diferencial.",Mottu,vacancy_type_associate,,False,São Paulo,São Paulo,Brasil,https://vagasmottu.gupy.io/job/eyJqb2JJZCI6NjU2ODU2MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,on-site,True
